Period_Near,FEMA-P695 Near Fault Original,Period_Far,FEMA-P695 Far Fault Original
0.01,0.44765617,0.04,0.373464076
0.02,0.450405505,0.05,0.376328674
0.022,0.451042015,0.06,0.400300931
0.025,0.45194028,0.07,0.441208737
0.029,0.45807707,0.08,0.478069384
0.03,0.458701005,0.09,0.495450005
0.032,0.464934585,0.1,0.589466513
0.035,0.46320239,0.11,0.595396091
0.036,0.466635245,0.12,0.661970561
0.04,0.46964742,0.13,0.672845693
0.042,0.475904605,0.14,0.688580722
0.044,0.481460725,0.15,0.732497615
0.045,0.48165193,0.16,0.744325408
0.046,0.479035265,0.17,0.718961951
0.048,0.47289252,0.18,0.767404518
0.05,0.47843435,0.19,0.738440842
0.055,0.52917842,0.2,0.754447573
0.06,0.52720509,0.21,0.815472168
0.065,0.52312774,0.22,0.79878396
0.067,0.55154572,0.23,0.810632368
0.07,0.57264921,0.24,0.830794597
0.075,0.556343395,0.25,0.905786132
0.08,0.535555975,0.26,0.943740306
0.085,0.54406285,0.27,0.930892952
0.09,0.581547965,0.28,0.905860201
0.095,0.612350415,0.29,0.92478471
0.1,0.640462115,0.3,0.941351428
0.11,0.694620805,0.31,0.930912011
0.12,0.723248325,0.32,0.92193201
0.13,0.67269041,0.33,0.930955593
0.133,0.655670115,0.34,0.866390758
0.14,0.66705382,0.35,0.854653857
0.15,0.69852184,0.36,0.869894377
0.16,0.71702235,0.37,0.861663041
0.17,0.74377692,0.38,0.823245476
0.18,0.827764905,0.39,0.823392827
0.19,0.89654602,0.4,0.834236025
0.2,0.941204145,0.41,0.824503938
0.22,0.873346125,0.42,0.824216008
0.24,0.81694533,0.43,0.781967379
0.25,0.775459275,0.44,0.777679818
0.26,0.84074893,0.45,0.782470906
0.28,0.935150475,0.46,0.799897198
0.29,0.912416375,0.47,0.78978224
0.3,0.8813759,0.48,0.780794112
0.32,0.84471205,0.49,0.79389377
0.34,0.86532937,0.5,0.789571696
0.35,0.816383625,0.51,0.765070309
0.36,0.797978225,0.52,0.743470759
0.38,0.77490878,0.53,0.742580469
0.4,0.73717422,0.54,0.71957564
0.42,0.701990775,0.55,0.705096679
0.44,0.720070425,0.56,0.702539973
0.45,0.7281796,0.57,0.683758147
0.46,0.738841015,0.58,0.660652669
0.48,0.7374837,0.59,0.646956122
0.5,0.717281765,0.6,0.636036247
0.55,0.70199488,0.61,0.646818228
0.6,0.771548375,0.62,0.649242564
0.65,0.901578765,0.63,0.650107608
0.667,0.88356063,0.64,0.645906341
