
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-09-18


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 181,182,292,723,802,821,828,879,1063,1086,1165,1503,1529,1605
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 181, -, 1.0, 3.773, 5.3, 11.5, 1.8, "Imperial Valley-06", 1979, "El Centro Array #6", 6.53, strike slip, 0.0, 1.35, 203.22, 0.0625, 1.0, RSN181_IMPVALL.H_H-E06140.AT2, RSN181_IMPVALL.H_H-E06230.AT2 , RSN181_IMPVALL.H_H-E06-UP.AT2  
2, SRSS, 182, -, 1.0, 4.375, 2.8, 6.8, 1.7, "Imperial Valley-06", 1979, "El Centro Array #7", 6.53, strike slip, 0.56, 0.56, 210.51, 0.075, 1.0, RSN182_IMPVALL.H_H-E07140.AT2, RSN182_IMPVALL.H_H-E07230.AT2 , RSN182_IMPVALL.H_H-E07-UP.AT2  
3, SRSS, 292, -, 1.0, 3.27264, 7.0, 15.2, 1.4, "Irpinia_ Italy-01", 1980, "Sturno (STN)", 6.9, Normal, 6.78, 10.84, 382.0, 0.125, 1.0, RSN292_ITALY_A-STU000.AT2, RSN292_ITALY_A-STU270.AT2 , RSN292_ITALY_A-STU-UP.AT2  
4, SRSS, 723, -, 1.0, 2.394, 8.1, 11.0, 3.7, "Superstition Hills-02", 1987, "Parachute Test Site", 6.54, strike slip, 0.95, 0.95, 348.69, 0.15, 1.0, RSN723_SUPER.B_B-PTS225.AT2, RSN723_SUPER.B_B-PTS315.AT2 ,  -----   
5, SRSS, 802, -, 1.0, 4.571, 4.1, 9.4, 1.5, "Loma Prieta", 1989, "Saratoga - Aloha Ave", 6.93, Reverse Oblique, 7.58, 8.5, 380.89, 0.125, 1.0, RSN802_LOMAP_STG000.AT2, RSN802_LOMAP_STG090.AT2 , RSN802_LOMAP_STG-UP.AT2  
6, SRSS, 821, -, 1.0, -, 2.1, 8.4, 1.8, "Erzican_ Turkey", 1992, "Erzincan", 6.69, strike slip, 0.0, 4.38, 352.05, 0.125, 1.0, RSN821_ERZINCAN_ERZ-NS.AT2, RSN821_ERZINCAN_ERZ-EW.AT2 , RSN821_ERZINCAN_ERZ-UP.AT2  
7, SRSS, 828, -, 1.0, 2.996, 6.5, 17.7, 3.8, "Cape Mendocino", 1992, "Petrolia", 7.01, Reverse, 0.0, 8.18, 422.17, 0.07, 1.0, RSN828_CAPEMEND_PET000.AT2, RSN828_CAPEMEND_PET090.AT2 , RSN828_CAPEMEND_PET-UP.AT2  
8, SRSS, 879, -, 1.0, 5.124, 8.4, 13.8, 7.0, "Landers", 1992, "Lucerne", 7.28, strike slip, 2.19, 2.19, 1369.0, 0.0, 1.0, RSN879_LANDERS_LCN260.AT2, RSN879_LANDERS_LCN345.AT2 , RSN879_LANDERS_LCN-UP.AT2  
9, SRSS, 1063, -, 1.0, 1.246, 4.3, 9.1, 7.5, "Northridge-01", 1994, "Rinaldi Receiving Sta", 6.69, Reverse, 0.0, 6.5, 282.25, 0.1, 1.0, RSN1063_NORTHR_RRS228.AT2, RSN1063_NORTHR_RRS318.AT2 , RSN1063_NORTHR_RRS-UP.AT2  
10, SRSS, 1086, -, 1.0, 2.436, 3.3, 6.8, 5.0, "Northridge-01", 1994, "Sylmar - Olive View Med FF", 6.69, Reverse, 1.74, 5.3, 440.54, 0.12, 1.0, RSN1086_NORTHR_SYL090.AT2, RSN1086_NORTHR_SYL360.AT2 , RSN1086_NORTHR_SYL-UP.AT2  
11, SRSS, 1165, -, 1.0, 5.369, 8.2, 15.1, 0.8, "Kocaeli_ Turkey", 1999, "Izmit", 7.51, strike slip, 3.62, 7.21, 811.0, 0.125, 1.0, RSN1165_KOCAELI_IZT180.AT2, RSN1165_KOCAELI_IZT090.AT2 , RSN1165_KOCAELI_IZT-UP.AT2  
12, SRSS, 1503, -, 1.0, 5.74, 20.5, 28.6, 7.7, "Chi-Chi_ Taiwan", 1999, "TCU065", 7.62, Reverse Oblique, 0.57, 0.57, 305.85, 0.075, 1.0, RSN1503_CHICHI_TCU065-E.AT2, RSN1503_CHICHI_TCU065-N.AT2 , RSN1503_CHICHI_TCU065-V.AT2  
13, SRSS, 1529, -, 1.0, 9.632, 15.1, 19.6, 2.0, "Chi-Chi_ Taiwan", 1999, "TCU102", 7.62, Reverse Oblique, 1.49, 1.49, 714.27, 0.0625, 1.0, RSN1529_CHICHI_TCU102-E.AT2, RSN1529_CHICHI_TCU102-N.AT2 , RSN1529_CHICHI_TCU102-V.AT2  
14, SRSS, 1605, -, 1.0, -, 7.3, 11.1, 2.9, "Duzce_ Turkey", 1999, "Duzce", 7.14, strike slip, 0.0, 6.58, 281.86, 0.1, 1.0, RSN1605_DUZCE_DZC180.AT2, RSN1605_DUZCE_DZC270.AT2 , RSN1605_DUZCE_DZC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-181 SRSS pSa (g),RSN-182 SRSS pSa (g),RSN-292 SRSS pSa (g),RSN-723 SRSS pSa (g),RSN-802 SRSS pSa (g),RSN-821 SRSS pSa (g),RSN-828 SRSS pSa (g),RSN-879 SRSS pSa (g),RSN-1063 SRSS pSa (g),RSN-1086 SRSS pSa (g),RSN-1165 SRSS pSa (g),RSN-1503 SRSS pSa (g),RSN-1529 SRSS pSa (g),RSN-1605 SRSS pSa (g)
0.01,0.69635128,1.00521166,0.48239105,0.64925391,0.58030703,0.3949989,0.58242567,0.60987835,0.6298115,0.89389547,1.08486813,1.00576565,1.04857448,0.28360526,0.98115742,0.34916572,0.65521049
0.02,0.73348129,1.06096848,0.50707897,1.01387502,0.58553015,0.40731367,0.62866746,0.61642103,0.63503739,0.89901128,1.1339974,1.00357058,1.05817944,0.28588174,0.9920545,0.35152812,0.65767028
0.022,0.75259947,1.11450129,0.50821473,1.12685238,0.58955984,0.40091049,0.63392016,0.61967316,0.63530195,0.90905,1.25977212,1.00251946,1.0627151,0.28591294,0.99733025,0.3525503,0.66032447
0.025,0.77760568,1.18861338,0.50871932,1.19003948,0.60366262,0.42946562,0.63912766,0.61122039,0.63842039,0.91052529,1.47442433,1.00839088,1.08431101,0.28627861,1.00032901,0.35288013,0.65740404
0.029,0.82096222,1.35087814,0.49891915,1.28467873,0.60095571,0.42151647,0.65768054,0.61857091,0.63822048,0.94248165,1.87546104,1.05283833,1.091476,0.28950785,1.00834344,0.35323958,0.65850039
0.03,0.82786864,1.38093321,0.49630675,1.32729919,0.59743074,0.41366209,0.66139355,0.62234203,0.64118021,0.92062749,1.93135416,1.07352184,1.09068954,0.28997841,1.01067573,0.35313391,0.65687202
0.032,0.84147761,1.43152224,0.49463749,1.34520433,0.58668851,0.4134059,0.67125537,0.64854568,0.64390375,0.9336404,2.05474075,1.08675265,1.06991386,0.29435093,1.01441481,0.35361996,0.66424971
0.035,0.81109939,1.29871264,0.50656488,1.17350439,0.58826197,0.45923981,0.6721205,0.64873088,0.64098707,0.91619211,1.80483585,1.03807676,1.0760079,0.30141029,1.0262589,0.35047956,0.65928544
0.036,0.80438812,1.2675905,0.51044896,1.12869579,0.590631,0.46512256,0.67656953,0.64501015,0.64131474,0.90346888,1.74187248,1.05206435,1.06303749,0.30852149,1.03050723,0.35099905,0.66361897
0.04,0.8381128,1.43470415,0.48960133,0.98637243,0.58311319,0.45755107,0.68772604,0.65828605,0.64222154,0.9357076,2.16527651,1.16370856,1.07807015,0.31463115,1.04327135,0.35207206,0.66557143
0.042,0.85212055,1.48684921,0.48835445,0.97587056,0.60253799,0.45940732,0.70224807,0.64840427,0.64656255,0.9347736,2.26224374,1.23746692,1.08099696,0.31067958,1.04764264,0.35042639,0.6704271
0.044,0.86241063,1.51055145,0.49237125,1.08231664,0.61747277,0.44684153,0.70606632,0.63531937,0.65024798,0.92451841,2.29208157,1.24908649,1.0688408,0.31503544,1.0534968,0.35293375,0.67949099
0.045,0.86974726,1.51916788,0.49794384,1.18045544,0.61180209,0.4506552,0.70403171,0.64848114,0.65036313,0.9172288,2.28597909,1.24801733,1.0701986,0.31966765,1.05568037,0.35334938,0.68055169
0.046,0.87844653,1.53926822,0.50132153,1.2805859,0.60257068,0.46255044,0.69650536,0.65900053,0.65191851,0.91186166,2.303599,1.23260444,1.08322268,0.32302062,1.05792081,0.35332387,0.6795669
0.048,0.88604164,1.51070515,0.51967109,1.40360381,0.59310532,0.49234304,0.67951051,0.69018507,0.65464939,0.96356565,2.16680512,1.21675665,1.1208483,0.32508097,1.06699882,0.35272371,0.67840661
0.05,0.90912746,1.59058398,0.51962848,1.41707563,0.59765071,0.5029789,0.66485631,0.70958511,0.65561571,1.01911528,2.333064,1.25550998,1.13143632,0.32333092,1.07551185,0.35420746,0.68784626
0.055,0.95863567,1.73700298,0.52906204,1.65075791,0.61147026,0.48934632,0.68082951,0.81650164,0.65108762,1.04353442,2.55799392,1.29941787,1.10549636,0.32677767,1.09660843,0.35644749,0.73462994
0.06,0.98978896,1.91263445,0.51221611,1.5510461,0.60657377,0.48921766,0.67155397,0.80733767,0.67038804,1.06691927,2.99486082,1.1776522,1.24990301,0.35477017,1.11768334,0.36739355,0.73174582
0.065,1.00747898,1.95395728,0.51946576,1.36595234,0.58470336,0.52726134,0.65903,0.81783341,0.68092477,1.24592314,3.08316407,1.31147902,1.24384652,0.36441112,1.1396552,0.37887425,0.70164721
0.067,1.00166956,1.91082496,0.52508311,1.24085792,0.59224584,0.51252932,0.66252502,0.88538659,0.6959574,1.3032445,3.0028226,1.34699417,1.20948659,0.36038144,1.14105566,0.37827126,0.69161556
0.07,1.01155219,1.94294479,0.52664277,1.15540792,0.60452824,0.53925897,0.68046503,0.91837278,0.71298382,1.38697258,3.06461935,1.34743473,1.21329645,0.34639736,1.13824515,0.37119732,0.68255095
0.075,1.04561899,2.1544428,0.50747185,1.06182657,0.62579921,0.59296052,0.69760452,0.88255286,0.68331003,1.32696101,3.52558667,1.30570512,1.27204689,0.39249011,1.17554249,0.38641057,0.70986933
0.08,1.06109531,2.15220907,0.52314772,1.20110693,0.64971257,0.61716238,0.64957764,0.82545076,0.69728956,1.23289646,3.48727801,1.32237703,1.4547078,0.43537439,1.20351221,0.38925087,0.68963777
0.085,1.09391345,2.29228151,0.52203302,1.26169428,0.65344186,0.60561141,0.64623803,0.79571734,0.71260756,1.15098695,3.74412185,1.29883328,1.58731523,0.49244796,1.20683171,0.41032499,0.74861582
0.09,1.07222482,1.97072049,0.58337348,1.33468585,0.6172049,0.62683499,0.64294561,0.8646326,0.73395532,1.16814099,3.02405732,1.44708441,1.62870118,0.50238096,1.22878149,0.40266381,0.78907807
0.095,1.07703138,1.87100062,0.61998729,1.43746403,0.64978004,0.65828955,0.6689009,0.9656101,0.76760978,1.21276557,2.7319105,1.52113267,1.58829093,0.46853287,1.2447613,0.374547,0.78884413
0.1,1.10736811,1.91718799,0.63961601,1.46424496,0.69316984,0.70356709,0.67957573,0.99332277,0.84415068,1.30601173,2.79698587,1.52178631,1.61368156,0.43198449,1.27404607,0.36258189,0.81804455
0.11,1.13043519,1.90846086,0.66958864,1.36484698,0.69650924,0.74908284,0.67683279,1.15807506,0.82906164,1.45302152,2.7686444,1.48067128,1.61080736,0.46650193,1.27138217,0.369588,0.9310674
0.12,1.10922123,1.73833694,0.70778668,1.18933588,0.77799181,0.87578824,0.71200682,1.1623221,0.93935278,1.47695194,2.38754873,1.4362465,1.56887654,0.47104482,1.27728254,0.37330178,0.88104668
0.13,1.11548339,1.69939805,0.73220232,0.96354092,0.73125251,1.06274211,0.79507997,1.14012372,0.89905979,1.62270333,2.02020418,1.7225645,1.61085466,0.48843809,1.35660754,0.38388754,0.81970861
0.133,1.105742,1.66337314,0.73505177,0.91636702,0.68053859,1.03320889,0.8282243,1.18501068,0.9115351,1.60785319,1.88556289,1.69354274,1.62420419,0.50476064,1.39388256,0.38812698,0.82757025
0.14,1.13094344,1.69785875,0.75332124,1.00162506,0.70421641,0.97218695,0.86491741,1.19320412,0.93772899,1.53491551,2.0291964,1.76733219,1.63927533,0.55434697,1.36160212,0.39987085,0.87278982
0.15,1.17576313,1.72276798,0.80244057,0.9656629,0.80851882,1.03226301,0.97599907,1.40187879,1.01887875,1.41906142,2.15434401,1.83537387,1.54099508,0.68380519,1.29031753,0.39236461,0.94122071
