
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-09-18


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 126,160,165,495,496,741,753,825,1004,1048,1176,1504,1517,2114
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 126, -, 1.0, -, 5.6, 7.0, 5.7, "Gazli_ USSR", 1976, "Karakyr", 6.8, Reverse, 3.92, 5.46, 259.59, 0.25, 1.0, RSN126_GAZLI_GAZ000.AT2, RSN126_GAZLI_GAZ090.AT2 , RSN126_GAZLI_GAZ-UP.AT2  
2, SRSS, 160, -, 1.0, -, 6.1, 9.7, 6.1, "Imperial Valley-06", 1979, "Bonds Corner", 6.53, strike slip, 0.44, 2.66, 223.03, 0.125, 1.0, RSN160_IMPVALL.H_H-BCR140.AT2, RSN160_IMPVALL.H_H-BCR230.AT2 , RSN160_IMPVALL.H_H-BCR-UP.AT2  
3, SRSS, 165, -, 1.0, -, 13.2, 24.0, 1.2, "Imperial Valley-06", 1979, "Chihuahua", 6.53, strike slip, 7.29, 7.29, 242.05, 0.225, 1.0, RSN165_IMPVALL.H_H-CHI012.AT2, RSN165_IMPVALL.H_H-CHI282.AT2 , RSN165_IMPVALL.H_H-CHIDWN.AT2  
4, SRSS, 495, -, 1.0, -, 7.2, 7.5, 3.9, "Nahanni_ Canada", 1985, "Site 1", 6.76, Reverse, 2.48, 9.6, 605.04, 0.125, 1.0, RSN495_NAHANNI_S1010.AT2, RSN495_NAHANNI_S1280.AT2 , RSN495_NAHANNI_S1-UP.AT2  
5, SRSS, 496, -, 1.0, -, 4.5, 7.3, 0.9, "Nahanni_ Canada", 1985, "Site 2", 6.76, Reverse, 0.0, 4.93, 605.04, 0.125, 1.0, RSN496_NAHANNI_S2240.AT2, RSN496_NAHANNI_S2330.AT2 ,  -----   
6, SRSS, 741, -, 1.0, -, 6.9, 9.8, 5.4, "Loma Prieta", 1989, "BRAN", 6.93, Reverse Oblique, 3.85, 10.72, 476.54, 0.125, 1.0, RSN741_LOMAP_BRN000.AT2, RSN741_LOMAP_BRN090.AT2 , RSN741_LOMAP_BRN-UP.AT2  
7, SRSS, 753, -, 1.0, -, 4.6, 7.9, 3.2, "Loma Prieta", 1989, "Corralitos", 6.93, Reverse Oblique, 0.16, 3.85, 462.24, 0.1875, 1.0, RSN753_LOMAP_CLS000.AT2, RSN753_LOMAP_CLS090.AT2 , RSN753_LOMAP_CLS-UP.AT2  
8, SRSS, 825, -, 1.0, -, 2.9, 9.7, 6.0, "Cape Mendocino", 1992, "Cape Mendocino", 7.01, Reverse, 0.0, 6.96, 567.78, 0.07, 1.0, RSN825_CAPEMEND_CPM000.AT2, RSN825_CAPEMEND_CPM090.AT2 , RSN825_CAPEMEND_CPM-UP.AT2  
9, SRSS, 1004, -, 1.0, 0.931, 4.7, 8.5, 7.0, "Northridge-01", 1994, "LA - Sepulveda VA Hospital", 6.69, Reverse, 0.0, 8.44, 380.06, 0.182, 1.0, RSN1004_NORTHR_SPV270.AT2, RSN1004_NORTHR_SPV360.AT2 , RSN1004_NORTHR_SPV-UP.AT2  
10, SRSS, 1048, -, 1.0, -, 6.6, 15.7, 4.6, "Northridge-01", 1994, "Northridge - 17645 Saticoy St", 6.69, Reverse, 0.0, 12.09, 280.86, 0.1625, 1.0, RSN1048_NORTHR_STC090.AT2, RSN1048_NORTHR_STC180.AT2 ,  -----   
11, SRSS, 1176, -, 1.0, 4.949, 7.0, 15.1, 1.3, "Kocaeli_ Turkey", 1999, "Yarimca", 7.51, strike slip, 1.38, 4.83, 297.0, 0.0875, 1.0, RSN1176_KOCAELI_YPT060.AT2, RSN1176_KOCAELI_YPT150.AT2 , RSN1176_KOCAELI_YPT-UP.AT2  
12, SRSS, 1504, -, 1.0, -, 11.0, 23.0, 3.6, "Chi-Chi_ Taiwan", 1999, "TCU067", 7.62, Reverse Oblique, 0.62, 0.62, 433.63, 0.0375, 1.0, RSN1504_CHICHI_TCU067-E.AT2, RSN1504_CHICHI_TCU067-N.AT2 , RSN1504_CHICHI_TCU067-V.AT2  
13, SRSS, 1517, -, 1.0, -, 17.5, 23.0, 20.3, "Chi-Chi_ Taiwan", 1999, "TCU084", 7.62, Reverse Oblique, 0.0, 11.48, 665.2, 0.25, 1.0, RSN1517_CHICHI_TCU084-E.AT2, RSN1517_CHICHI_TCU084-N.AT2 , RSN1517_CHICHI_TCU084-V.AT2  
14, SRSS, 2114, -, 1.0, 3.157, 9.1, 29.5, 1.9, "Denali_ Alaska", 2002, "TAPS Pump Station #10", 7.9, strike slip, 0.18, 2.74, 329.4, 0.13, 1.0, RSN2114_DENALI_PS10-047.AT2, RSN2114_DENALI_PS10-317.AT2 , RSN2114_DENALI_PS10-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-126 SRSS pSa (g),RSN-160 SRSS pSa (g),RSN-165 SRSS pSa (g),RSN-495 SRSS pSa (g),RSN-496 SRSS pSa (g),RSN-741 SRSS pSa (g),RSN-753 SRSS pSa (g),RSN-825 SRSS pSa (g),RSN-1004 SRSS pSa (g),RSN-1048 SRSS pSa (g),RSN-1176 SRSS pSa (g),RSN-1504 SRSS pSa (g),RSN-1517 SRSS pSa (g),RSN-2114 SRSS pSa (g)
0.01,0.90038552,1.48646052,0.54538555,1.22063907,0.98515469,0.37354042,1.71760055,0.65763715,0.68731642,0.80654449,1.84659525,1.20007399,0.57966413,0.3939611,0.59265426,1.09769588,0.44631985
0.02,0.97049616,1.59384332,0.59093813,1.47937326,1.0796385,0.37208933,1.87563803,0.9170221,0.86153629,0.81120378,1.85695061,1.21094224,0.58159248,0.39494477,0.59667484,1.1020368,0.44730316
0.022,0.99225465,1.65909547,0.59343739,1.44454066,1.14071449,0.37136404,1.96961071,0.88249048,0.93096061,0.81959678,1.98631658,1.22199048,0.58143458,0.39888929,0.59398492,1.10228644,0.44738499
0.025,1.06135037,1.8450243,0.61054188,1.72167409,1.25765743,0.3774311,2.15548456,1.06758716,0.85636202,0.81891654,2.20287119,1.25004989,0.58759539,0.40369064,0.60596812,1.1059639,0.44765309
0.029,1.12459506,1.99981682,0.63241495,2.04734084,1.38124629,0.38745624,2.21256445,1.2771221,0.80775988,0.83463094,2.34615161,1.26456471,0.60286337,0.4044809,0.62003394,1.10988206,0.44823357
0.03,1.12175059,1.97971351,0.63560933,2.04343542,1.40261754,0.39139003,2.12667561,1.29082569,0.79983516,0.83546117,2.34187483,1.28058852,0.60515813,0.40347299,0.62342986,1.11159158,0.44815169
0.032,1.12728325,1.97988802,0.64183808,2.03543545,1.44332361,0.39285669,2.1200082,1.2915511,0.83102069,0.82339941,2.33687797,1.29843526,0.61609643,0.40623448,0.62527297,1.11333542,0.44811784
0.035,1.13331023,1.98733532,0.64628856,2.10748394,1.45189395,0.37690022,2.0828228,1.27494003,0.92226551,0.83697679,2.3394164,1.26319732,0.61239458,0.40604527,0.62886054,1.11468143,0.44846446
0.036,1.14202495,2.00782283,0.64956976,2.09707687,1.45550525,0.3838216,2.15038309,1.31333061,0.91599124,0.84786377,2.34678819,1.27330613,0.60512819,0.40431221,0.62886338,1.11609476,0.44988406
0.04,1.17032886,2.08445677,0.6570871,1.85886459,1.43329716,0.39692797,2.59425502,1.38121154,0.93399025,0.84684909,2.29006379,1.41897545,0.57956709,0.4144486,0.65409268,1.1263285,0.45573234
0.042,1.21285048,2.18486011,0.67327253,2.23841725,1.35247847,0.40242638,2.55937294,1.56804911,0.95344613,0.83221021,2.35510186,1.44901953,0.60781882,0.40959766,0.65933408,1.13513034,0.45750396
0.044,1.25151668,2.30069591,0.68079141,2.49349727,1.31130856,0.39954648,2.55695918,1.62081188,0.99998413,0.82834516,2.52306982,1.49880565,0.62191729,0.40978712,0.6575719,1.13913234,0.46049678
0.045,1.27241855,2.35894822,0.68634358,2.50282651,1.30674998,0.39189119,2.6518356,1.69755043,1.02863089,0.83804563,2.58602566,1.52427026,0.61465006,0.41060828,0.65823047,1.14012696,0.4624178
0.046,1.291369,2.41112584,0.69164116,2.48731096,1.30850296,0.38823993,2.76078951,1.74978072,1.0406429,0.85307502,2.64902214,1.54158224,0.62369298,0.41081199,0.66041551,1.14087537,0.46442372
0.048,1.30975553,2.45365365,0.69914495,2.43867829,1.34612431,0.39136609,2.83602788,1.75015027,1.05013358,0.88020142,2.76225373,1.5466918,0.63967303,0.40986641,0.66977188,1.14768948,0.4679493
0.05,1.3180417,2.48465569,0.69918497,2.56977089,1.38243981,0.39828055,2.78004492,1.71835857,0.98711789,0.90058145,2.83643574,1.51601705,0.65751933,0.40737362,0.66742075,1.16112382,0.47009938
0.055,1.2744303,2.33319993,0.69611377,2.51329283,1.41286017,0.42134542,2.16757055,1.46504352,1.03721734,0.90914726,2.97274233,1.50175378,0.70361921,0.41741641,0.66118928,1.17719284,0.48163331
0.06,1.34905369,2.59801924,0.70051285,2.57484267,1.43343778,0.42043531,2.97577397,1.35042045,1.11011216,0.92532402,3.12053584,1.51170227,0.7227523,0.41754296,0.64767831,1.19112599,0.48506759
0.065,1.44738734,2.97916908,0.70319275,2.76387233,1.38318996,0.44394143,3.86664287,1.3197792,1.18731196,0.95903788,3.25095453,1.51734014,0.78735104,0.41809006,0.65581714,1.231426,0.47866823
0.067,1.47062341,3.08190221,0.7017527,2.83357048,1.39861886,0.45004097,4.06646322,1.19259973,1.24069278,0.96842956,3.27448671,1.58464031,0.79032553,0.41800653,0.65293291,1.24260956,0.47531052
0.07,1.48875785,3.06947746,0.72207728,3.04525617,1.47390579,0.48611685,3.94183708,1.10668669,1.34394192,0.98089411,3.20981157,1.64983516,0.79986424,0.42600376,0.64806193,1.25143207,0.47896253
0.075,1.47764686,2.97844037,0.73308174,3.0629562,1.51366708,0.52422633,3.6993335,0.94389413,1.35397061,1.01489399,3.18416223,1.701207,0.83227723,0.42821046,0.68417591,1.26075515,0.48332623
0.08,1.44170233,2.86676629,0.7250349,2.55839089,1.49877108,0.54653168,3.58993305,0.94143383,1.16606103,1.00594814,3.348631,1.75932753,0.84891029,0.4387615,0.72001503,1.28087547,0.48024209
0.085,1.4497027,2.82885059,0.74292998,2.37984358,1.56849761,0.54180607,3.45338512,0.99222057,1.28651904,0.9938376,3.46975605,1.77293625,0.89490261,0.4626975,0.71408286,1.29259922,0.47275371
0.09,1.48366895,2.84629539,0.77338198,2.27375609,1.65521019,0.54295641,3.50467736,0.94734861,1.57029697,0.99356689,3.48769326,1.78282718,0.997603,0.47612391,0.73726478,1.30672324,0.49531745
0.095,1.5044906,2.90532604,0.77908363,2.15328702,1.68859196,0.54819349,3.75900074,0.93172406,1.48359659,1.01180291,3.42990426,1.8982769,1.12342935,0.47075156,0.75263436,1.31959805,0.49207715
0.1,1.51782038,2.90105482,0.7941176,2.34056647,1.63112893,0.56768127,3.75776129,0.87673716,1.43899733,1.07124292,3.35095895,1.90413406,1.17165921,0.46954734,0.79278496,1.37527813,0.50100728
0.11,1.4965285,2.77514233,0.80702079,2.35179904,1.98542162,0.61189797,3.38884119,0.78818989,1.49989966,1.0267409,3.2347785,1.87272162,1.0817411,0.49340122,0.80596105,1.34277542,0.46722977
0.12,1.52824593,2.74299602,0.85145425,2.11847014,2.3991683,0.56814105,2.78148116,0.74256298,1.80616262,1.07039621,3.48597988,1.99858789,1.09187114,0.52685417,0.76361521,1.43189365,0.6102586
0.13,1.60988094,2.91176334,0.89008492,2.19322213,2.26301581,0.65464348,3.0153221,0.75443745,2.05767158,1.27574072,3.71939259,2.17279368,1.08194195,0.50902195,0.74960609,1.49817668,0.59334689
0.133,1.62528393,2.93430979,0.900228,2.31088769,2.22917912,0.67505061,2.96298482,0.75387818,2.20914434,1.28608152,3.74574041,2.14645215,1.07678047,0.50139556,0.75764658,1.50616503,0.59258849
0.14,1.61145192,2.84325167,0.9133125,2.22626129,2.15486131,0.66800072,2.64477981,0.73377335,2.31189373,1.24206892,3.70029562,2.15401794,1.12991664,0.49621393,0.81918287,1.63263526,0.64642549
